"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-"
"*04ug0*","Sean Longstaff","LEE","M","197","FA","BOU Sat 3:00PM","25.05","5.01","3%","-0.1%"
"*070cj*","Noah Okafor","LEE","F","198","FA","BOU Sat 3:00PM","24.85","8.28","7%","-0.3%"
"*04qfz*","Diogo Dalot","MUN","D","199","FA","@BRF Sat 12:30PM","24.84","8.28","34%","-3.6%"
"*05rl4*","Crysencio Summerville","WHU","M","200","FA","@EVE Mon 8:00PM","24.78","8.26","38%","+1.7%"
"*03dyx*","Josh Laurent","BUR","M","201","FA","@MCI Sat 3:00PM","24.67","4.93","1%","-0.1%"
"*06rf9*","Omar Marmoush","MCI","F","202","BukAke","BUR Sat 3:00PM","24.51","8.17","98%","-0.4%"
"*03gu4*","Harry Maguire","MUN","D","203","FA","@BRF Sat 12:30PM","24.33","6.08","10%","+1%"
"*05l8q*","Cole Palmer","CHE","M","204","BMB","BHA Sat 3:00PM","24.01","8","100%","0%"
"*052h5*","Gabriel Martinelli","ARS","M","205","FPLL","@NEW Sun 4:30PM","23.86","5.96","70%","-5.3%"
"*06zbm*","Cristhian Mosquera","ARS","D","206","FA","@NEW Sun 4:30PM","23.77","5.94","20%","-6.7%"
"*052ca*","Ezri Konsa","AVL","D","207","Fsail93","FUL Sun 2:00PM","23.6","5.9","27%","+2.8%"
"*061vp*","Brenden Aaronson","LEE","M","208","FA","BOU Sat 3:00PM","23.5","4.7","10%","+3%"
"*05ylw*","Rodrigo Bentancur","TOT","M","209","FA","WOL Sat 8:00PM","23.38","5.85","9%","-1.1%"
"*05t6z*","Tim Iroegbunam","EVE","M","210","FA","WHU Mon 8:00PM","23.36","5.84","1%","-0.2%"
"*06v0s*","Eliezer Mayenda","SUN","F","211","FA","@NOT Sat 5:30PM","23.35","5.84","32%","-4.9%"
"*04ym7*","Lucas Perri","LEE","G","212","W <small>(Fri)</small>","BOU Sat 3:00PM","23.15","7.72","6%","-0.5%"
"*06ex4*","Josko Gvardiol","MCI","D","213","Rozza08","BUR Sat 3:00PM","23.1","11.55","97%","+0.4%"
"*06p4j*","Noussair Mazraoui","MUN","D","214","FA","@BRF Sat 12:30PM","23.06","7.69","39%","-2.1%"
"*062x7*","Rico Lewis","MCI","D","215","FA","BUR Sat 3:00PM","22.73","7.58","32%","-7%"
