"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","CS","GA","Sv","YC","RC","Pen","PKS","SBON","SBOF","TkW","DIS","G","KP","AT","Int","CLR","CoS","AER","HCS","Sm","OG","SOT"
"*06ex2*","Aaron Bott","NOT","G","G","39","FA","@FUL Mon 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06jb3*","Ted Curd","CHE","G","G","42","FA","@NEW Sat 12:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06jgt*","Joe Gauci","AVL","G","G","47","FA","MUN Sun 4:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ids*","Adam Harrison","NEW","G","G","52","FA","CHE Sat 12:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*072gz*","Ronnie Hollingshead","AVL","G","G","59","FA","MUN Sun 4:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06jfh*","Max Merrick","CHE","G","G","69","FA","@NEW Sat 12:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0722r*","Rhys Oakley","AVL","G","G","76","FA","MUN Sun 4:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*072cd*","Nils Ramming","BHA","G","G","84","FA","SUN Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06617*","Keehan Willows","NOT","G","G","100","FA","@FUL Mon 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03yww*","Dean Henderson","CRY","G","G","5","Dank95","@LEE Sat 8:00PM","-0.2","-0.2","90%","-1%","1","1","90","0","3","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
