"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"*05gcs*","Sander Berge","FUL","M","M","156","W <small>(Tue)</small>","FUL 1<br/>@BUR 1","2.55","2.55","5%","-1%","1","1","90","0","0.0","0","0","0","0","2","1","0","0","2","0","0","0"
"*067yz*","Matheus Cunha","MUN","F","F","149","FPLL","BOU Mon 8:00PM","2.52","2.52","99%","0%","1","1","76","0","0.0","0","0","3","0","1","1","0","0","1","0","0","0"
"*05nt6*","Eberechi Eze","ARS","M","M","61","BMB","WOL Sat 8:00PM","2.46","2.46","100%","0%","1","0","28","0","0.0","0","0","0","0","1","3","0","0","1","0","0","0"
"*06fvn*","Beto","EVE","F","F","244","W <small>(Tue)</small>","EVE 0<br/>@CHE 2 F","2.43","2.43","29%","-2%","1","0","9","0","0.0","0","0","0","0","1","0","0","0","1","0","0","0"
"*06jh3*","Joshua King","FUL","M","M","235","W <small>(Tue)</small>","FUL 1<br/>@BUR 1","2.3","2.3","6%","-1%","1","0","15","0","0.0","0","0","1","1","0","0","0","0","0","0","0","0"
"*06eo0*","Lesley Ugochukwu","BUR","M","M","204","W <small>(Tue)</small>","FUL 1<br/>@BUR 1","2.26","2.26","3%","0%","1","0","18","0","0.0","0","0","1","0","0","1","0","0","0","0","0","0"
"*04f6o*","Will Hughes","CRY","M","M","316","FA","MCI Sun 2:00PM","2.26","2.26","1%","0%","1","0","13","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"*070hc*","Brian Brobbey","SUN","F","F","305","FA","NEW Sun 2:00PM","2.22","2.22","5%","0%","1","1","61","0","0.0","0","0","0","0","1","2","0","0","1","0","0","0"
"*04yjx*","Ki-Jana Hoever","WOL","D","D","310","FA","@ARS Sat 8:00PM","2.16","2.16","1%","0%","1","0","8","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06kqy*","Ayden Heaven","MUN","D","D","353","FA","BOU Mon 8:00PM","2.15","2.15","2%","-1%","1","1","45","0","0.0","0","0","0","0","2","0","1","0","5","0","0","0"
"*06rma*","Marshall Munetsi","WOL","M","M","151","FA","@ARS Sat 8:00PM","2.08","2.08","17%","-3%","1","0","4","0","0.0","0","0","1","1","1","0","0","0","1","0","0","0"
"*062pl*","Lisandro Martinez","MUN","D","D","423","FA","BOU Mon 8:00PM","2.02","2.02","6%","0%","1","0","1","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02lnx*","Danny Welbeck","BHA","F","F","107","CTM","BHA 0<br/>@LIV 2 F","1.94","1.94","88%","-4%","1","0","22","0","0.0","0","0","3","1","0","0","0","0","0","0","0","0"
"*061y6*","Ryan Yates","NOT","M","M","326","FA","TOT Sun 2:00PM","1.94","1.94","1%","0%","1","0","22","0","0.0","0","0","0","0","0","2","0","0","0","0","0","0"
